,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21608,Kepler-482,b,2.944,,,,,,,0.8,4734.0,,icy
21609,Kepler-357,b,1.666,,,,,,,0.72,4935.0,,rocky
21610,Kepler-375,b,1.814,,,,,,,0.9,5483.0,,rocky
21611,Kepler-1533,b,4.271,,,,,,,1.76,6320.0,,icy
21612,Kepler-813,b,2.14,,,,19.12947337,,,0.93,5743.0,0.95,rocky
21613,Kepler-1491,b,1.51,,,,16.5861762,,,0.99,5728.0,1.0,rocky
21614,Kepler-1491,b,2.09,,,0.127,16.5860329,0.0,,1.39,5626.0,0.99,rocky
21615,Kepler-1492,b,1.26,,,,,,,0.62,4790.0,,rocky
21616,Kepler-1493,b,,,,,15.02180714,,,,5743.16,,?
21617,Kepler-1495,b,2.94,,,,85.273256,,,1.04,5831.0,1.03,icy
21618,Kepler-1496,b,2.22,,,,64.6588017,,,1.27,6182.0,1.18,icy
21619,Kepler-1496,b,,,,,64.65886514,,,1.39,5836.36,1.05,?
21620,Kepler-1497,b,1.69,,,0.0832,8.74199772,0.0,,1.0,5878.0,1.0,rocky
21621,Kepler-393,b,1.442,,,,,,,1.53,6330.0,,rocky
21622,Kepler-1469,b,2.514,,,,,,,0.84,5399.0,,icy
21623,Kepler-1546,b,,,,,19.5971417,,,0.88,5724.0,1.02,?
21624,Kepler-1548,b,2.64,,,,124.828679,,,0.97,5706.0,0.99,icy
21625,Kepler-1548,b,,,,,124.82849705,,,0.75,5602.0,0.99,?
21626,Kepler-1548,b,,,,,124.827797,,,0.75,5602.0,0.99,?
21627,Kepler-440,b,,,,,101.11135511,,,0.66,3891.0,0.64,?
21628,Kepler-1550,b,3.005,,,,,,,1.1,5938.0,,icy
21629,Kepler-1551,b,2.66,,,,24.4973698,,,1.22,6136.0,1.14,icy
21630,Kepler-1552,b,,,,,184.77271,,,1.11,4871.52,0.79,?
21631,Kepler-154,f,1.453,,,,,,,1.07,5666.0,,rocky
21632,Kepler-320,b,1.5,,,,8.37160502,,,1.53,6453.0,1.33,rocky
21633,Kepler-320,b,1.05,,,0.083,8.37160502,0.0,,1.04,6412.0,1.08,rocky
21634,Kepler-320,b,1.05,,,0.083,8.37160502,0.0,,1.04,6412.0,1.08,rocky
21635,Kepler-969,c,1.16,,,0.0261,1.6829346,0.0,,0.95,5346.0,0.83,rocky
